ID_Studente,Livello_Competenza,Competenza_Iniziale_Punti,Ore_Uso_AI,Ore_Studio_Autonomo,Frequenza_Lezioni_Perc,Ansia_Prestazione,Punteggio_Esame
STU_001,Media,65,6.5,16.4,63.1,60.8,59.9
STU_002,Alta,85,3.2,18.3,77.2,64.4,60.2
STU_003,Alta,85,3.2,18.3,71.2,61.2,60.6
STU_004,Media,65,6.4,15.7,73.9,66.9,57.1
STU_005,Bassa,40,13.5,12.4,57.5,65.6,63.7
STU_006,Bassa,40,12.4,12.5,56.6,66.8,60.5
STU_007,Bassa,40,11.0,13.1,53.4,67.6,58.1
STU_008,Alta,85,3.5,17.9,76.1,62.6,60.1
STU_009,Media,65,6.2,16.0,64.3,65.0,58.8
STU_010,Alta,85,3.6,19.2,74.4,62.5,63.9
STU_011,Bassa,40,12.9,13.1,63.7,65.8,62.2
STU_012,Alta,85,2.3,18.1,73.7,63.1,59.0
STU_013,Alta,85,3.8,18.7,77.4,60.2,63.0
STU_014,Bassa,40,12.3,12.6,53.9,68.9,60.2
STU_015,Bassa,40,12.7,11.7,55.9,64.0,62.0
STU_016,Bassa,40,13.5,12.1,61.3,68.5,63.8
STU_017,Bassa,40,11.8,11.9,54.1,66.0,59.7
STU_018,Media,65,6.4,15.7,71.4,61.7,57.3
STU_019,Media,65,6.3,15.9,68.1,64.3,58.3
STU_020,Bassa,40,11.3,13.7,54.3,64.8,59.1
STU_021,Media,65,6.9,16.0,67.9,64.1,62.0
STU_022,Bassa,40,12.3,12.7,58.9,63.8,62.1
STU_023,Bassa,40,12.2,13.2,57.9,63.3,63.8
STU_024,Media,65,7.7,14.6,61.3,59.8,60.5
STU_025,Media,65,7.0,15.9,63.8,61.9,61.3
STU_026,Alta,85,4.2,18.5,73.3,55.6,63.2
STU_027,Bassa,40,11.8,12.1,55.8,61.3,62.8
STU_028,Media,65,9.2,16.2,67.9,64.0,64.2
STU_029,Media,65,7.5,15.9,66.5,65.3,60.0
